event_id,symbol,spot_symbol,ex_date,notional_usd,gross_dividend,net_dividend,net_low,net_high,net_verified,basis,basis_tier,price,buy_price,price_label,fee_rate,fee_label,drop_ratio,drop_se,drop_label,cost_per_share,exit_edge_lower,exit_edge_point,exit_edge_lower_net_low,exit_edge_lower_net_high,exit_edge_lower_zero_net,buy_edge_point,verdict,buy,reason,sell_book_ts,sell_book_source,buy_book_ts,buy_book_source
rSTM-2026-09-22-1,rSTM,RSTMUSDT,2026-09-22,25000,,,,,False,UNRESOLVED,,48.35,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,cash basis UNRESOLVED; gross basis required,,,,
rGFS-2026-09-23-1,rGFS,RGFSUSDT,2026-09-23,1000,0.12,0.084,0.08399999999999999,0.12,False,GROSS,2.0,44.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,"buy: $1,000 exceeds visible top-of-book ($44) on ticker-only symbol",2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rGFS-2026-09-23-1,rGFS,RGFSUSDT,2026-09-23,5000,0.12,0.084,0.08399999999999999,0.12,False,GROSS,2.0,44.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,"buy: $5,000 exceeds visible top-of-book ($44) on ticker-only symbol",2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rGFS-2026-09-23-1,rGFS,RGFSUSDT,2026-09-23,25000,0.12,0.084,0.08399999999999999,0.12,False,GROSS,2.0,44.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,"buy: $25,000 exceeds visible top-of-book ($44) on ticker-only symbol",2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rLRCX-2026-09-23-1,rLRCX,RLRCXUSDT,2026-09-23,1000,0.33,0.231,0.23099999999999998,0.33,False,GROSS,2.0,276.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",2.7211969622156476,-2.6669258218246994,-2.5865421901561194,-2.6669258218246994,-2.7659258218246996,-2.4359258218246995,-2.8558517342751757,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,public_book,2026-09-17T04:27:30.024688+00:00,public_book
rLRCX-2026-09-23-1,rLRCX,RLRCXUSDT,2026-09-23,5000,0.33,0.231,0.23099999999999998,0.33,False,GROSS,2.0,276.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",3.3198124292382136,-3.2655412888472655,-3.1851576571786855,-3.2655412888472655,-3.3645412888472657,-3.0345412888472656,-3.4544672012977418,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,public_book,2026-09-17T04:27:30.024688+00:00,public_book
rLRCX-2026-09-23-1,rLRCX,RLRCXUSDT,2026-09-23,25000,0.33,0.231,0.23099999999999998,0.33,False,GROSS,2.0,276.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",4.564347377287717,-4.5100762368967695,-4.429692605228189,-4.5100762368967695,-4.609076236896769,-4.27907623689677,-4.699002149347246,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,public_book,2026-09-17T04:27:30.024688+00:00,public_book
rSATA-2026-09-23-1,rSATA,RSATAUSDT,2026-09-23,1000,0.0516,0.03612,0.03612,0.0516,False,GROSS,2.0,100.0,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",0.21000100012501552,-0.20151496726388546,-0.1889458903120711,-0.20151496726388546,-0.21699496726388548,-0.16539496726388547,-0.23105610993795994,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rSATA-2026-09-23-1,rSATA,RSATAUSDT,2026-09-23,5000,0.0516,0.03612,0.03612,0.0516,False,GROSS,2.0,100.0,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,"buy: $5,000 exceeds visible top-of-book ($1,000) on ticker-only symbol",2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rSATA-2026-09-23-1,rSATA,RSATAUSDT,2026-09-23,25000,0.0516,0.03612,0.03612,0.0516,False,GROSS,2.0,100.0,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,"sell: $25,000 exceeds visible top-of-book ($19,996) on ticker-only symbol; buy: $25,000 exceeds visible top-of-book ($1,000) on ticker-only symbol",2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
