event_id,symbol,underlying,ex_date,decision_ts,ledger_gross_dividend,ledger_announcement_date,api_announcement_date,api_gross_dividend,audit_status,primary_review_status,source_fetched_at,predecision_publication_verified,primary_source_url,primary_source_published_date,primary_declared_amount
rSTM-2026-06-23-1,rSTM,STM,2026-06-23,2026-06-22T23:59:00+00:00,0.0765,2026-03-26,2026-03-26,0.0765000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rYANG-2026-06-23-1,rYANG,YANG,2026-06-23,2026-06-22T23:59:00+00:00,0.16314,2026-06-22,2026-06-22,0.1631400000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rYINN-2026-06-23-1,rYINN,YINN,2026-06-23,2026-06-22T23:59:00+00:00,0.20943,2026-06-22,2026-06-22,0.2094300000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rCRCA-2026-06-24-1,rCRCA,CRCA,2026-06-24,2026-06-23T23:59:00+00:00,0.181138,2026-06-23,2026-06-23,0.1811380000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rGFS-2026-06-24-1,rGFS,GFS,2026-06-24,2026-06-23T23:59:00+00:00,0.12,2026-05-06,2026-05-06,0.1200000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rPSQ-2026-06-24-1,rPSQ,PSQ,2026-06-24,2026-06-23T23:53:00+00:00,0.228579,2026-06-23,2026-06-23,0.2285790000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSCHD-2026-06-24-1,rSCHD,SCHD,2026-06-24,2026-06-23T23:59:00+00:00,0.2525,2026-06-23,2026-06-23,0.2525000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSPXU-2026-06-24-1,rSPXU,SPXU,2026-06-24,2026-06-23T23:59:00+00:00,0.391445,2026-06-23,2026-06-23,0.3914450000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSQQQ-2026-06-24-1,rSQQQ,SQQQ,2026-06-24,2026-06-23T23:59:00+00:00,0.637637,2026-06-23,2026-06-23,0.6376370000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSTX-2026-06-24-1,rSTX,STX,2026-06-24,2026-06-23T23:59:00+00:00,0.74,2026-04-28,2026-04-28,0.7400000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investors.seagate.com/news/news-details/2026/Seagate-Technology-Reports-Fiscal-Third-Quarter-2026-Financial-Results/,2026-04-28,0.74
rTQQQ-2026-06-24-1,rTQQQ,TQQQ,2026-06-24,2026-06-23T23:59:00+00:00,0.171229,2026-06-23,2026-06-23,0.1712290000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rUPRO-2026-06-24-1,rUPRO,UPRO,2026-06-24,2026-06-23T23:59:00+00:00,0.299,2026-06-23,2026-06-23,0.2990000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rDGRW-2026-06-25-1,rDGRW,DGRW,2026-06-25,2026-06-24T23:46:00+00:00,0.16,2026-06-24,2026-06-24,0.1600000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rFTGC-2026-06-25-1,rFTGC,FTGC,2026-06-25,2026-06-24T23:58:00+00:00,0.1691,2026-06-24,2026-06-24,0.1691000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
